"","IndicatorID","GridID","UnitID","NSTC100","Period","ES","SD","N","N_OBS","GTC","STC","CategoryID","Name","Code","Parameters","Units","YearMin","YearMax","MonthMin","MonthMax","DepthMin","DepthMax","Metric","Response","Applied","Comments","ACDEV","GTC_HM","GTC_ML","STC_HM","STC_ML","GSC_HM","GSC_ML","SSC_HM","SSC_ML","IW","ET","EQR_HG","EQR_GM","EQR_MP","EQR_PB","W"
"255",1,1510,46,NA,20062013,7.9375,1.15750655659976,8,8,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"256",1,1511,46,NA,20062009,7.425,0.75,4,4,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"257",1,1512,46,NA,20062009,7.1,0.489897948556636,4,4,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"258",1,1514,47,5,20062011,4.19722222222222,1.31682136925193,6,22,0,83.3333333333333,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,11.20010264,NA,NA,NA,NA,NA
"259",1,1516,47,NA,20062010,6.532,0.762884147313484,5,5,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,11.20010264,NA,NA,NA,NA,NA
"260",1,1517,46,NA,20062010,5.74206776556777,1.83533848556593,5,28,30,10,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"261",1,1517,47,NA,20062010,5.1152,1.71074477030789,5,19,10,10,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,11.20010264,NA,NA,NA,NA,NA
"262",1,1518,46,NA,20062010,9.16466666666667,4.11346744784062,5,5,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.11657854,NA,NA,NA,NA,NA
"263",1,1530,3,NA,20062013,10.525,1.12891688504218,6,24,16.6666666666667,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,10.93917413,NA,NA,NA,NA,NA
"264",1,1538,30,NA,20132013,8.475,NA,1,4,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,9.271524325,NA,NA,NA,NA,NA
"265",1,1538,63,NA,20082013,7.2125,0.583363094478901,2,5,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,8.897276156,NA,NA,NA,NA,NA
"266",1,1539,63,NA,20062013,7.09309090909091,0.483640227447162,5,63,60,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,8.897276156,NA,NA,NA,NA,NA
"267",1,1540,63,NA,20082013,6.25577777777778,0.670384264230893,5,42,40,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,8.897276156,NA,NA,NA,NA,NA
