"","IndicatorID","UnitID","GridID","Period","ES","SD","N","N_OBS","GTC","STC"
"2173",1,64,4402,20082014,12.612,3.19776797157017,5,5,0,0
"2174",1,64,4476,20112012,19.7,7.32562625309263,2,2,0,0
"2175",2,64,4100,20092011,1.03,0.212132034355964,2,2,0,0
"2176",2,64,4174,20062013,1.11384259259259,0.270855208043486,6,38,33.3333333333333,0
"2177",2,64,4175,20082011,0.946666666666667,0.187705443004015,3,3,0,0
"2178",2,64,4250,20092011,0.852222222222222,0.138617512655562,3,8,0,0
"2179",2,64,4251,20092011,0.741666666666667,0.115144836329439,3,4,0,0
"2180",2,64,4326,20082014,1.14595238095238,0.339820019278802,7,12,0,0
"2181",2,64,4401,20082014,1.23472222222222,0.254284216897083,6,13,0,0
"2182",2,64,4402,20082014,1.074,0.600024999479188,5,5,0,0
"2183",2,64,4476,20112012,2.12,0.537401153701776,2,2,0,0
"2184",4,64,4174,20112014,8.23803571428572,0.645332107454421,4,26,25,12.5
"2185",6,64,4175,20082008,0.02,NA,1,1,0,0
"2186",6,64,4326,20082014,0.0214285714285714,0.00377964473009227,7,8,0,0
"2187",6,64,4401,20082014,0.0366666666666667,0.0328125992061992,6,8,0,0
"2188",6,64,4402,20082014,0.026,0.00547722557505166,5,5,0,0
"2189",6,64,4476,20122012,0.03,NA,1,1,0,0
"2190",301,64,4100,20102010,1.75,NA,1,1,0,0
"2191",301,64,4174,20112014,2.91860416666667,1.14853204089321,4,36,0,37.5
"2192",3,1,17954,20062006,0.8,NA,1,1,0,0
"2193",3,2,627,20062014,0.621,0.625903347171111,5,6,0,0
"2194",3,2,628,20062006,0.33,NA,1,1,0,0
"2195",3,2,665,20062009,1.09,0.291776169920255,4,4,0,0
"2196",3,2,740,20082014,0.647142857142857,0.338019441537233,7,7,0,0
"2197",3,2,777,20082014,0.797857142857143,0.207039793736557,7,8,0,0
"2198",3,2,815,20082014,0.836,0.520028845353794,5,6,0,0
"2199",3,2,816,20082014,0.934285714285714,0.210800627992197,7,13,0,0
"2200",3,2,853,20092014,0.8075,0.457337402800165,6,7,0,0
"2201",3,2,854,20092014,1.85833333333333,1.4664571820093,6,6,0,0
"2202",3,2,890,20092010,1.04,0.452548339959391,2,2,0,0
"2203",3,2,966,20092009,0.19,NA,1,1,0,0
"2204",3,2,1001,20142014,0.875714285714286,NA,1,7,0,0
"2205",3,2,1042,20132013,0.82,NA,1,2,0,0
"2206",3,2,1080,20132014,0.595,0.417193000900063,2,5,0,0
"2207",3,2,1081,20142014,0.75,NA,1,1,0,0
